id,project_name,lon,lat,laccPriority,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUANTITY RISK --,Annual Water Stress Category,Annual Water Stress Index,Seasonal Water Stress Category,Seasonal Water Stress Index,-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection: Phosphorous,Forest Protection: Sediment Category,Forest Protection: Sediment,Reforestation: Phosphorous Category,Reforestation: Phosphorous,Reforestation: Sediment Category,Reforestation: Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration: Phosphorous,Riparian Reforestation: Sediment Category,Riparian Restoration: Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Biophysical Opportunity to Mitigate Riverine Flooding,Stormwater Flood Mitigation City Ranking,default
city51,Recife,-34.8897018,-8.06,Priority,3939253,0,0,100,0,0,Stressed,0.557,Stressed,1,0,High,9.4,High,978,0,High,2.655,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,44.51,High Potential,6.6,0,High,16,1153131,2.57,10,1
city52,Rio de Janeiro,-43.1941986,-22.91,Priority,12380355,0,0,100,0,0,Stressed,0.999,Stressed,1,0,Medium,0.13,High,1358,0,Medium,0.46,Insufficient Scope,,Insufficient Scope,,Medium Potential,28,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,28,4129906,2.48,34,1
city53,Rosario,-60.6837006,-32.99,No,1365084,0,14,86,0,0,Not Stressed,0.001,Not Stressed,0.002647631,0,Low,0.01,High,261,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,45,807022,2.22,64,1
city54,Salvador,-38.5112991,-12.98,Priority,4506290,0,0,100,0,0,Stressed,0.781,Stressed,1,0,High,0.23,Medium,75,0,High,3.133,High Potential,7.8,Insufficient Scope,,Low Potential,794.4,High Potential,2.76,Insufficient Scope,,Insufficient Scope,,0,High,14,1443046,2.64,23,1
city55,San José,-84.0768967,9.93,Priority,1704468,0,25,75,0,0,Not Stressed,0.086,Stressed,0.955491359,0,High,1.18,High,14185,0,Medium,0.487,Medium Potential,73.4,Medium Potential,22.7,High Potential,7.8,Insufficient Scope,,Medium Potential,24.38,Medium Potential,11.7,0,Medium,38,14080,2.37,56,1
city56,San Juan,-66.0585022,18.41,No,2475123,0,0,100,0,0,Stressed,0.403,Stressed,1,0,High,0.77,High,2772,0,Low,0.086,Low Potential,191.7,Medium Potential,62.8,Insufficient Scope,,Insufficient Scope,,Medium Potential,29.83,Insufficient Scope,,0,Very High,1,2443023,2.94,43,1
city57,San Luis Potosí,-100.8710022,22.14,No,1143767,0,98,2,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,27,16,2.57,38,1
city58,San Salvador,-89.2166977,13.75,No,1739642,0,50,50,0,0,Not Stressed,0.054,Stressed,0.888970142,0,High,0.31,High,402,0,Low,0.046,Low Potential,1183.7,Low Potential,151.9,Low Potential,402.8,Low Potential,232.55,Low Potential,156.9,Medium Potential,53.4,0,Low ,52,116082,2.36,61,1
city59,Santa Cruz,-63.1570015,-17.79,No,1965373,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,37,15657,2.4,62,1
city60,Santiago,-70.653801,-33.45,Priority,6354952,0,15,85,0,0,Stressed,1,Stressed,1,0,High,4.05,High,25382,0,Medium,0.268,Insufficient Scope,,Insufficient Scope,,Medium Potential,38.9,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,64,88079,2.22,35,1
city61,Santo Domingo,-69.911499,18.48,No,2358764,0,32,68,0,0,Stressed,0.593,Stressed,1,0,High,0.9,High,2731,0,Low,0.08,Low Potential,149.2,Medium Potential,53.2,Insufficient Scope,,Insufficient Scope,,Medium Potential,32.01,Insufficient Scope,,0,Very High,2,1629788,2.97,36,1
city62,Santos,-46.3348999,-23.95,Priority,1768318,0,0,100,0,0,Not Stressed,0.163,Stressed,1,0,Low,0,High,3806,0,High,5.984,Insufficient Scope,,Insufficient Scope,,High Potential,1.2,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,66,5771,2.21,16,1
city63,São Luís,-44.2317009,-2.58,No,1436909,0,22,78,0,0,Not Stressed,0.142,Stressed,0.646899312,0,Medium,0.09,Medium,34,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,34,280603,2.44,7,1
city64,São Paulo,-46.6436996,-23.58,Priority,21028372,0,0,100,0,0,Not Stressed,0.254,Stressed,1,0,Medium,0.14,High,1535,0,High,3.016,Insufficient Scope,,Medium Potential,33.6,High Potential,4.3,Insufficient Scope,,Insufficient Scope,,Medium Potential,14.8,0,Low ,42,6738124,2.22,3,1
city65,Tegucigalpa,-87.2011032,14.1,No,1256531,0,1,99,0,0,Not Stressed,0.069,Stressed,1,0,High,2.71,High,1773,0,Medium,0.122,Insufficient Scope,,Medium Potential,23,Medium Potential,15.5,Insufficient Scope,,Medium Potential,15.21,Insufficient Scope,,0,Low ,55,1454,2.37,49,1
city66,Teresina,-42.8154984,-5.09,No,968065,0,0,100,0,0,Not Stressed,0.005,Not Stressed,0.020334123,0,Low,0,Low,16,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,,,,,,1
city67,Tijuana,-117.0279999,32.41,Priority,2061496,0,5,95,0,0,Stressed,0.548,Stressed,1,0,High,0.73,Medium,97,0,High,1.012,Medium Potential,18.3,Medium Potential,22.3,High Potential,9.7,High Potential,3.79,Insufficient Scope,,Insufficient Scope,,0,Very High,4,647869,2.84,50,1
city68,Toluca,-99.597702,19.3,No,1928525,0,13,88,0,0,Not Stressed,0.109,Stressed,1,0,High,0.95,High,731,0,Medium,0.179,Low Potential,325.9,Medium Potential,20.9,Medium Potential,19.9,Medium Potential,33.53,Insufficient Scope,,Insufficient Scope,,0,Very High,9,76384,2.83,26,1
city69,Torreón,-103.3939972,25.63,No,1344439,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,21,161595,2.61,68,1
city70,Valencia,-67.995697,10.16,No,2040623,0,13,87,0,0,Not Stressed,0.015,Stressed,1,0,High,2.56,High,896,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,50,250919,2.36,53,1
city71,Valparaíso,-71.6200027,-33.05,No,930616,0,98,2,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,58,404947,2.22,59,1
